county,Year,internet
175,2014,30
177,2014,90
179,2014,90
181,2014,10
183,2014,30
185,2014,50
187,2014,70
191,2014,70
193,2014,50
195,2014,70
197,2014,70
199,2014,90
510,2014,90
515,2014,50
520,2014,70
530,2014,50
540,2014,70
550,2014,90
570,2014,70
580,2014,70
590,2014,50
595,2014,30
600,2014,90
610,2014,90
620,2014,50
630,2014,90
640,2014,50
650,2014,90
660,2014,70
670,2014,70
678,2014,90
680,2014,70
683,2014,90
685,2014,90
690,2014,50
700,2014,90
710,2014,70
720,2014,70
730,2014,70
735,2014,90
740,2014,70
750,2014,90
760,2014,70
770,2014,70
775,2014,70
790,2014,70
800,2014,70
810,2014,90
820,2014,70
830,2014,90
840,2014,70
